Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
GRR,DTW,"Grand Rapids, MI","Detroit, MI",4166,7192,58,120,1999-11-01,718518,8962394,42.88079834,-85.52279663,42.2123985290527,-83.353401184082
BUF,ROC,"Buffalo, NY","Rochester, NY",150,1836,54,55,1992-05-01,1191586,1020412,42.94049835,-78.73220062,43.1189002990723,-77.6724014282227
IAH,IND,"Houston, TX","Indianapolis, IN",612,665,7,845,1998-03-01,4445918,1438091,29.9843997955322,-95.3414001464844,39.7173,-86.294403
MCO,PHX,"Orlando, FL","Phoenix, AZ",308,366,2,1848,2009-12-01,2082421,4364094,28.4293994903564,-81.3089981079102,33.4342994689941,-112.012001037598
BOS,ATL,"Boston, MA","Atlanta, GA",18931,28901,96,946,1995-06-01,8357434,3548667,42.36429977,-71.00520325,33.6366996765137,-84.4281005859375
DTW,TPA,"Detroit, MI","Tampa, FL",808,868,7,983,2009-01-01,8806874,2747272,42.2123985290527,-83.353401184082,27.9755001068115,-82.533203125
PDX,RNO,"Portland, OR","Reno, NV",7610,11508,84,444,2006-07-01,2123960,402383,45.58869934,-122.5979996,39.4990997314453,-119.767997741699
TPA,ATL,"Tampa, FL","Atlanta, GA",1939,2652,13,406,2004-03-01,2578104,4802300,27.9755001068115,-82.533203125,33.6366996765137,-84.4281005859375
DFW,HSV,"Dallas, TX","Huntsville, AL",6207,11620,83,603,2009-11-01,12895230,406316,32.896800994873,-97.0380020141602,34.637199401855,-86.775100708008
BOS,PHL,"Boston, MA","Philadelphia, PA",715,850,17,280,2008-05-01,9089410,11880992,42.36429977,-71.00520325,39.871898651123,-75.241096496582
MSN,ORD,"Madison, WI","Chicago, IL",7663,10050,201,109,2009-07-01,570025,19161134,43.1399002075195,-89.3375015258789,41.97859955,-87.90480042
RIC,EWR,"Richmond, VA","Newark, NJ",2,128,1,278,1992-01-01,980145,16930924,37.505199432373,-77.3197021484375,40.6925010681152,-74.168701171875
CLT,RIC,"Charlotte, NC","Richmond, VA",30,37,1,256,2005-12-01,1519448,1174017,35.2140007019043,-80.9430999755859,37.505199432373,-77.3197021484375
EWR,PWM,"Newark, NJ","Portland, ME",1378,1976,19,284,2003-08-01,18671320,506179,40.6925010681152,-74.168701171875,43.64619827,-70.30930328
PHL,RIC,"Philadelphia, PA","Richmond, VA",819,1050,21,198,2007-06-01,11825356,1212476,39.871898651123,-75.241096496582,37.505199432373,-77.3197021484375
DTW,ATL,"Detroit, MI","Atlanta, GA",213,545,3,594,1996-01-01,8912962,3652439,42.2123985290527,-83.353401184082,33.6366996765137,-84.4281005859375
GRR,TOL,"Grand Rapids, MI","Toledo, OH",45,110,1,125,1996-07-01,699551,650576,42.88079834,-85.52279663,41.58679962,-83.80780029
CLT,CMH,"Charlotte, NC","Columbus, OH",233,250,5,346,2005-07-01,1519448,1714463,35.2140007019043,-80.9430999755859,39.9980010986328,-82.8918991088867
DFW,XNA,"Dallas, TX","Fayetteville, AR",141,176,4,281,2008-05-01,12602170,455408,32.896800994873,-97.0380020141602,36.281898,-94.306801
